account_id,customer_id,account_type,currency,balance
ACC0000001,CUST000222,Current,USD,3800329.55
ACC0000002,CUST007268,Nostro,USD,2237008.59
ACC0000003,CUST004444,Escrow,INR,86700.36
ACC0000004,CUST007778,Savings,AED,4058738.39
ACC0000005,CUST003121,Savings,USD,1625932.45
ACC0000006,CUST008884,Savings,USD,2404663.6
ACC0000007,CUST002695,Savings,USD,3603529.9
ACC0000008,CUST004401,Nostro,INR,578472.93
ACC0000009,CUST004522,Current,EUR,2469310.89
ACC0000010,CUST006047,Escrow,AED,4996072.35
ACC0000011,CUST007162,Current,INR,3491719.28
ACC0000012,CUST000827,Current,INR,4435990.62
ACC0000013,CUST009806,Current,INR,2648589.93
ACC0000014,CUST006246,Savings,GBP,2498138.74
ACC0000015,CUST003912,Savings,USD,4785356.36
ACC0000016,CUST008327,Current,GBP,280934.2
ACC0000017,CUST006468,Escrow,USD,431433.02
ACC0000018,CUST005244,Nostro,GBP,3380534.28
ACC0000019,CUST000784,Current,AED,2404848.31
ACC0000020,CUST008164,Nostro,EUR,1642807.31
ACC0000021,CUST003474,Current,AED,4644911.4
ACC0000022,CUST003660,Savings,USD,2456275.3
ACC0000023,CUST008807,Nostro,GBP,1280975.62
ACC0000024,CUST008782,Nostro,INR,527460.23
ACC0000025,CUST003245,Current,USD,2533013.83
ACC0000026,CUST004888,Current,AED,4704992.71
ACC0000027,CUST002900,Savings,USD,4755519.21
ACC0000028,CUST004585,Nostro,EUR,230148.67
ACC0000029,CUST007700,Escrow,USD,1143080.9
ACC0000030,CUST007982,Current,INR,236593.01
ACC0000031,CUST005921,Savings,EUR,221587.81
ACC0000032,CUST004826,Escrow,INR,919623.25
ACC0000033,CUST009464,Savings,INR,3135298.49
ACC0000034,CUST008750,Savings,EUR,825559.59
ACC0000035,CUST007873,Escrow,GBP,2092293.65
ACC0000036,CUST009796,Current,EUR,3476087.53
ACC0000037,CUST004927,Current,AED,2168563.04
ACC0000038,CUST006361,Current,AED,4848206.08
ACC0000039,CUST006296,Escrow,INR,425175.74
ACC0000040,CUST009112,Savings,AED,2886231.68
ACC0000041,CUST001425,Current,EUR,1566404.45
ACC0000042,CUST007058,Nostro,USD,1805547.31
ACC0000043,CUST003891,Current,AED,2465499.77
ACC0000044,CUST003658,Savings,EUR,991540.6
ACC0000045,CUST004291,Savings,AED,3147554.46
ACC0000046,CUST006686,Current,AED,3430373.94
ACC0000047,CUST001968,Escrow,GBP,3234113.16
ACC0000048,CUST008937,Escrow,USD,1252071.14
ACC0000049,CUST005197,Nostro,AED,4796978.81
ACC0000050,CUST004584,Savings,USD,143736.48
ACC0000051,CUST009303,Savings,GBP,3868902.14
ACC0000052,CUST008663,Savings,INR,54713.13
ACC0000053,CUST005730,Current,AED,3885596.07
ACC0000054,CUST006034,Escrow,USD,1270174.64
ACC0000055,CUST004749,Current,INR,2535032.74
ACC0000056,CUST005702,Savings,GBP,4905070.19
ACC0000057,CUST008952,Savings,INR,4468326.23
ACC0000058,CUST003055,Escrow,USD,4678944.47
ACC0000059,CUST007250,Savings,GBP,235891.88
ACC0000060,CUST009551,Savings,USD,4698752.79
ACC0000061,CUST008224,Current,AED,445127.25
ACC0000062,CUST007764,Current,EUR,2259863.5
ACC0000063,CUST001537,Current,INR,1129924.51
ACC0000064,CUST000713,Savings,INR,4821362.14
ACC0000065,CUST008052,Savings,EUR,330711.78
ACC0000066,CUST005094,Nostro,EUR,3784410.22
ACC0000067,CUST004288,Current,EUR,3133330.49
ACC0000068,CUST001088,Nostro,AED,29324.68
ACC0000069,CUST001019,Current,INR,4382439.54
ACC0000070,CUST001479,Savings,USD,295374.54
ACC0000071,CUST002761,Current,GBP,4122848.86
